percorso;num;id_ferm
"8223";"5";"15291"
"9158";"6";"15391"
"13192";"18";"17769"
"6201";"16";"11919"
"11522";"18";"11841"
"12142";"27";"10921"
"12712";"16";"11040"
"5190";"24";"11504"
"11301";"11";"14380"
"4086";"17";"10595"
"11334";"20";"12865"
"11343";"1";"16735"
"12073";"28";"12321"
"6252";"17";"13656"
"9982";"37";"14006"
"11344";"16";"11466"
"12490";"1";"18132"
"6774";"21";"11903"
"9670";"4";"11823"
"10152";"10";"11814"
"12282";"3";"19618"
"12296";"4";"13190"
"4705";"11";"11592"
"7436";"8";"16647"
"9903";"18";"11111"
"7616";"26";"17143"
"8093";"19";"10086"
"11347";"8";"11153"
"10590";"4";"16778"
"7436";"1";"16041"
"4540";"32";"12936"
"6737";"8";"11692"
"8057";"7";"15101"
"9398";"11";"12140"
"8658";"1";"12920"
"11825";"16";"14239"
"6798";"11";"17169"
"12073";"8";"16150"
"11345";"14";"11457"
"5748";"11";"16835"
"11322";"45";"10122"
"7277";"9";"13827"
"10124";"13";"17854"
"11346";"7";"11158"
"5843";"1";"13634"
"12162";"14";"11520"
"12395";"6";"16568"
"4653";"27";"11616"
"11767";"33";"11191"
"7547";"19";"10958"
"8742";"14";"16213"
"12074";"20";"16141"
"6708";"29";"12678"
"8842";"13";"14944"
"10303";"21";"10358"
"10304";"13";"10261"
"12560";"34";"11830"
"13156";"30";"15031"
"10492";"34";"10937"
"10492";"4";"15051"
"9902";"18";"11094"
"13373";"9";"14608"
"9670";"14";"12195"
"13023";"6";"16501"
"13155";"13";"13213"
"13126";"6";"12864"
"6737";"19";"15428"
"9901";"1";"11512"
"11304";"9";"16320"
"9922";"18";"11401"
"11357";"2";"10794"
"12196";"10";"16153"
"12957";"25";"19912"
"6778";"2";"15878"
"6764";"8";"12389"
"9309";"27";"13129"
"10545";"21";"14173"
"3578";"13";"12421"
"10770";"1";"15771"
"10149";"4";"13527"
"13008";"11";"17772"
"583";"20";"10065"
"7814";"21";"16071"
"8231";"22";"10252"
"11090";"23";"16462"
"12179";"8";"17333"
"11350";"7";"10781"
"12296";"21";"15643"
"12892";"2";"11051"
"10539";"4";"13403"
"13199";"4";"16097"
"9962";"9";"11855"
"9878";"21";"10360"
"9899";"10";"10528"
"13127";"27";"18115"
"12310";"15";"14361"
"12916";"8";"11046"
"10109";"23";"16811"
"11346";"3";"17376"
"5482";"21";"12349"
"6708";"8";"11947"
"12625";"17";"11234"
"10386";"8";"16842"
"11334";"9";"12713"
"8806";"1";"11884"
"9878";"11";"10052"
"9901";"12";"15368"
"11198";"14";"10061"
"12972";"7";"12573"
"7793";"8";"17467"
"12759";"34";"13805"
"3732";"1";"10189"
"7654";"14";"16538"
"11301";"15";"16344"
"12761";"13";"17277"
"5844";"7";"14597"
"6740";"3";"16804"
"13156";"27";"16855"
"12292";"10";"13715"
"11608";"7";"13818"
"9904";"6";"11060"
"13133";"5";"12827"
"11353";"10";"10498"
"13128";"2";"15274"
"3001";"6";"11205"
"5844";"13";"13633"
"6740";"2";"16841"
"11333";"15";"12691"
"8742";"13";"16212"
"9457";"37";"10685"
"4405";"12";"10291"
"12917";"2";"11043"
"6740";"11";"13106"
"10300";"9";"10076"
"10150";"3";"13333"
"10306";"1";"10188"
"7181";"13";"13834"
"13008";"7";"16482"
"12560";"10";"10682"
"11345";"8";"11154"
"9175";"22";"13688"
"9457";"44";"10474"
"8402";"8";"12041"
"10544";"20";"14172"
"11678";"36";"12820"
"12290";"25";"13723"
"10036";"18";"17769"
"13136";"12";"16632"
"10036";"5";"12581"
"9970";"25";"16895"
"9696";"3";"10106"
"6145";"22";"14937"
"11632";"16";"12016"
"2982";"2";"15279"
"7693";"2";"11631"
"11322";"25";"10475"
"11713";"6";"12832"
"9746";"15";"12039"
"3578";"4";"12064"
"8223";"2";"15286"
"9319";"9";"10302"
"11322";"4";"11695"
"8090";"4";"10348"
"11632";"5";"12035"
"9696";"1";"10192"
"8989";"11";"10936"
"13193";"3";"11798"
"7275";"4";"13932"
"12174";"9";"18049"
"9320";"3";"10301"
"13125";"10";"12507"
"11322";"16";"11039"
"13283";"35";"12385"
"8843";"27";"11688"
"12277";"20";"16372"
"12841";"19";"16573"
"7214";"11";"14884"
"12625";"22";"11491"
"10537";"1";"16732"
"12290";"15";"13180"
"7227";"11";"12555"
"11678";"37";"12824"
"7225";"6";"13888"
"10304";"17";"10416"
"3001";"3";"10040"
"6736";"21";"11055"
"11301";"8";"14377"
"11524";"5";"12266"
"10548";"31";"14882"
"12306";"13";"14329"
"3734";"16";"10463"
"6802";"5";"16841"
"12276";"12";"16356"
"6764";"4";"12084"
"8090";"29";"10400"
"12841";"25";"16446"
"6145";"13";"14930"
"5190";"3";"11095"
"8093";"11";"17530"
"3464";"3";"12795"
"12917";"19";"16791"
"13193";"5";"11823"
"13144";"3";"11794"
"11657";"10";"13442"
"10303";"11";"10254"
"8090";"22";"10083"
"9216";"8";"16838"
"11299";"9";"10878"
"9899";"22";"10639"
"13190";"19";"12647"
"11350";"14";"10754"
"12402";"13";"17681"
"7565";"15";"10648"
"9629";"15";"12890"
"12453";"22";"16895"
"11662";"29";"12910"
"6294";"19";"16167"
"6774";"7";"12412"
"583";"1";"11211"
"6692";"3";"10286"
"10147";"4";"13527"
"9904";"17";"11110"
"6294";"10";"16164"
"7654";"10";"16534"
"6201";"18";"11889"
"3275";"22";"11486"
"12842";"5";"16575"
"13007";"17";"17655"
"322";"1";"16811"
"4282";"33";"10713"
"6567";"7";"14159"
"10492";"12";"10242"
"11524";"25";"10962"
"8414";"26";"15270"
"6740";"5";"16807"
"9904";"8";"11064"
"12381";"13";"11572"
"9962";"26";"11181"
"7548";"2";"10733"
"9746";"13";"12036"
"6844";"23";"14551"
"3575";"7";"10990"
"4538";"2";"11191"
"5131";"13";"16191"
"6802";"14";"15154"
"12163";"16";"11503"
"6791";"20";"12941"
"4039";"24";"12919"
"10089";"27";"10116"
"654";"3";"12512"
"4701";"1";"13533"
"7547";"27";"11534"
"10770";"19";"19175"
"11198";"16";"10067"
"9212";"14";"11343"
"11628";"1";"15082"
"12293";"20";"13191"
"9878";"25";"10554"
"8843";"5";"16957"
"13008";"5";"17449"
"12130";"7";"13376"
"12174";"16";"13450"
"4282";"18";"15689"
"7543";"20";"10711"
"7277";"4";"14161"
"12254";"19";"10797"
"6145";"3";"13098"
"7691";"11";"13540"
"12987";"4";"13319"
"5190";"15";"11165"
"5795";"4";"13098"
"12962";"9";"10878"
"10109";"2";"13636"
"11090";"20";"16482"
"9692";"17";"12965"
"10492";"7";"10245"
"13136";"10";"16664"
"5844";"9";"13629"
"9899";"8";"10797"
"12493";"3";"16791"
"12976";"6";"11659"
"11322";"37";"10312"
"13007";"1";"17444"
"10491";"5";"10994"
"12314";"9";"11778"
"9177";"21";"17851"
"9629";"29";"12731"
"11197";"12";"10163"
"13008";"14";"16429"
"6708";"6";"11958"
"12958";"3";"15613"
"13127";"26";"18114"
"4282";"7";"12095"
"7547";"6";"16718"
"10548";"4";"13431"
"8332";"1";"17152"
"10492";"28";"10636"
"11635";"3";"11519"
"13023";"9";"16504"
"9693";"8";"12072"
"11090";"10";"16479"
"12276";"11";"16355"
"6737";"22";"13775"
"6778";"12";"12311"
"12893";"4";"11386"
"12310";"4";"14370"
"10303";"1";"10115"
"9779";"11";"13348"
"6294";"7";"16202"
"8843";"32";"11655"
"9398";"28";"11255"
"11090";"5";"16474"
"10386";"18";"16820"
"3533";"16";"11112"
"13283";"15";"11216"
"4084";"4";"10626"
"8989";"8";"10018"
"12177";"19";"16239"
"475";"11";"12744"
"8843";"23";"13107"
"9747";"1";"16932"
"12162";"31";"17360"
"9925";"14";"13341"
"8230";"5";"15116"
"9160";"10";"11613"
"8414";"29";"11098"
"11825";"14";"16280"
"9878";"27";"10593"
"13283";"25";"11827"
"10117";"5";"11823"
"13007";"16";"16437"
"9696";"26";"12258"
"11357";"14";"10776"
"6782";"2";"17160"
"7277";"7";"13941"
"9217";"14";"11373"
"11197";"17";"10219"
"6737";"16";"15466"
"7225";"15";"12567"
"8090";"2";"10334"
"12603";"18";"11566"
"12290";"16";"13181"
"10117";"3";"11798"
"9309";"24";"17647"
"10013";"11";"14917"
"12728";"26";"11813"
"13133";"15";"12645"
"7212";"5";"11956"
"6201";"26";"12469"
"4084";"12";"10826"
"10300";"33";"16967"
"12281";"22";"10151"
"9878";"16";"10236"
"13200";"4";"19976"
"7547";"12";"10709"
"8093";"28";"10233"
"7455";"18";"10830"
"6708";"5";"11972"
"13154";"10";"12867"
"10544";"16";"13477"
"8090";"34";"10617"
"9303";"32";"16449"
"13154";"3";"12716"
"6201";"7";"12298"
"10539";"5";"18049"
"7277";"23";"13842"
"7548";"9";"10484"
"11197";"10";"10134"
"12179";"3";"16248"
"12310";"5";"14371"
"5085";"4";"16079"
"9367";"20";"10932"
"12841";"7";"16553"
"4282";"39";"10472"
"10072";"8";"10798"
"10491";"34";"10240"
"12917";"21";"19635"
"12309";"14";"10203"
"3275";"13";"11139"
"12305";"14";"14333"
"13130";"15";"11590"
"11348";"11";"10758"
"12761";"23";"11622"
"4282";"40";"14970"
"6252";"3";"13562"
"6740";"9";"13104"
"12493";"28";"12809"
"8230";"7";"13701"
"9922";"27";"11459"
"7796";"4";"17472"
"11299";"29";"10050"
"9922";"25";"11439"
"10036";"28";"10908"
"11628";"10";"11765"
"9439";"7";"12325"
"10146";"4";"13527"
"12894";"17";"11695"
"4084";"22";"13169"
"10545";"17";"14169"
"11090";"26";"16486"
"13374";"6";"15907"
"11198";"32";"10585"
"12841";"13";"16559"
"10537";"7";"13363"
"11202";"18";"10154"
"3734";"6";"10110"
"6291";"3";"16198"
"10545";"12";"16312"
"9922";"12";"11099"
"12142";"26";"10923"
"12381";"15";"11541"
"8173";"22";"11927"
"12290";"19";"13184"
"480";"22";"12200"
"11709";"7";"12108"
"9962";"23";"17559"
"11632";"12";"12986"
"8736";"8";"16174"
"12892";"12";"10728"
"13128";"8";"12709"
"9922";"20";"11413"
"5482";"17";"12375"
"12293";"30";"13753"
"4086";"12";"10841"
"7225";"4";"13887"
"13199";"13";"19975"
"10294";"18";"12099"
"12178";"11";"16256"
"583";"26";"10148"
"12759";"12";"11896"
"12310";"17";"15585"
"11299";"1";"16757"
"7210";"14";"15293"
"5569";"1";"15930"
"5795";"15";"13346"
"12196";"16";"16271"
"12962";"23";"10202"
"6692";"16";"10482"
"9398";"9";"12169"
"11633";"7";"11745"
"11790";"7";"11203"
"10300";"10";"18457"
"10386";"11";"14087"
"11662";"20";"12622"
"12296";"10";"13749"
"11662";"25";"12820"
"9778";"4";"14089"
"4039";"5";"12366"
"12917";"11";"13137"
"10401";"10";"13846"
"10152";"26";"11277"
"12177";"10";"16230"
"7225";"19";"12298"
"11090";"22";"16461"
"12276";"17";"16368"
"12311";"13";"14362"
"4086";"4";"13161"
"8656";"7";"15765"
"11347";"1";"11466"
